DatoPaaskeId;PaaskeAften;PaaskeFerieUke;Aar;MaalTall;Forskjell;Dager i mellom
1;11.04.2020;15;2020;43930,00;;
2;03.04.2021;13;2021;44287,00;357,00;er det samme!!
3;16.04.2022;15;2022;44665,00;378,00;
4;08.04.2023;;2023;45022,00;357;
5;30.03.2024;13;2024;45379,00;;
6;19.04.2025;16;2025;45764,00;385,00;
7;04.04.2026;14;2026;46114,00;350,00;
8;27.03.2027;12;2027;46471,00;357,00;
9;15.04.2028;;2028;46856,00;385;
10;31.03.2029;13;2029;47206,00;;
11;20.04.2030;16;2030;47591,00;385,00;
12;12.04.2031;15;2031;47948,00;357,00;
13;27.03.2032;13;2032;48298,00;350,00;
14;16.04.2033;15;2033;48683,00;385,00;
15;08.04.2034;;2034;49040,00;357;
16;24.03.2035;12;2035;49390,00;;
17;12.04.2036;15;2036;49775,00;385,00;
18;04.04.2037;14;2037;50132,00;357,00;
19;24.04.2038;16;2038;50517,00;;
20;09.04.2039;14;2039;50867,00;350,00;
21;31.03.2040;;2040;51224,00;357;
;;;;999159,00;;
